State	District	Subdistt	Town/Village	Ward	EB	Level	Name	TRU	No_HH	TOT_P	TOT_M	TOT_F	P_06	M_06	F_06	P_SC	M_SC	F_SC	P_ST	M_ST	F_ST	P_LIT	M_LIT	F_LIT	P_ILL	M_ILL	F_ILL	TOT_WORK_P	TOT_WORK_M	TOT_WORK_F	MAINWORK_P	MAINWORK_M	MAINWORK_F	MAIN_CL_P	MAIN_CL_M	MAIN_CL_F	MAIN_AL_P	MAIN_AL_M	MAIN_AL_F	MAIN_HH_P	MAIN_HH_M	MAIN_HH_F	MAIN_OT_P	MAIN_OT_M	MAIN_OT_F	MARGWORK_P	MARGWORK_M	MARGWORK_F	MARG_CL_P	MARG_CL_M	MARG_CL_F	MARG_AL_P	MARG_AL_M	MARG_AL_F	MARG_HH_P	MARG_HH_M	MARG_HH_F	MARG_OT_P	MARG_OT_M	MARG_OT_F	MARGWORK_3_6_P	MARGWORK_3_6_M	MARGWORK_3_6_F	MARG_CL_3_6_P	MARG_CL_3_6_M	MARG_CL_3_6_F	MARG_AL_3_6_P	MARG_AL_3_6_M	MARG_AL_3_6_F	MARG_HH_3_6_P	MARG_HH_3_6_M	MARG_HH_3_6_F	MARG_OT_3_6_P	MARG_OT_3_6_M	MARG_OT_3_6_F	MARGWORK_0_3_P	MARGWORK_0_3_M	MARGWORK_0_3_F	MARG_CL_0_3_P	MARG_CL_0_3_M	MARG_CL_0_3_F	MARG_AL_0_3_P	MARG_AL_0_3_M	MARG_AL_0_3_F	MARG_HH_0_3_P	MARG_HH_0_3_M	MARG_HH_0_3_F	MARG_OT_0_3_P	MARG_OT_0_3_M	MARG_OT_0_3_F	NON_WORK_P	NON_WORK_M	NON_WORK_F
21	386	3050	407937	0	0	VILLAGE	Gunthuni	Rural	320	1697	891	806	176	100	76	83	39	44	0	0	0	1246	694	552	451	197	254	499	457	42	474	437	37	89	87	2	79	77	2	40	33	7	266	240	26	25	20	5	6	6	0	6	6	0	10	6	4	3	2	1	24	19	5	5	5	0	6	6	0	10	6	4	3	2	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1198	434	764
21	386	3050	407938	0	0	VILLAGE	Chandramapatapursasan	Rural	137	658	325	333	77	38	39	243	115	128	0	0	0	456	239	217	202	86	116	267	198	69	60	50	10	2	2	0	2	1	1	0	0	0	56	47	9	207	148	59	9	8	1	89	82	7	16	3	13	93	55	38	153	111	42	6	5	1	73	68	5	15	3	12	59	35	24	54	37	17	3	3	0	16	14	2	1	0	1	34	20	14	391	127	264
21	386	3050	407939	0	0	VILLAGE	Golabaisasan	Rural	519	2534	1273	1261	262	128	134	575	286	289	0	0	0	1952	1044	908	582	229	353	668	596	72	589	539	50	60	55	5	251	240	11	26	24	2	252	220	32	79	57	22	6	0	6	46	43	3	7	3	4	20	11	9	49	33	16	5	0	5	24	23	1	6	2	4	14	8	6	30	24	6	1	0	1	22	20	2	1	1	0	6	3	3	1866	677	1189
21	386	3050	407940	0	0	VILLAGE	Nirashraya	Rural	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	386	3050	407941	0	0	VILLAGE	Bhogapur	Rural	115	656	311	345	80	41	39	0	0	0	0	0	0	482	241	241	174	70	104	182	171	11	162	154	8	38	37	1	0	0	0	1	1	0	123	116	7	20	17	3	1	0	1	0	0	0	0	0	0	19	17	2	19	16	3	1	0	1	0	0	0	0	0	0	18	16	2	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	474	140	334
21	386	3050	407942	0	0	VILLAGE	Hadapada	Rural	300	1361	694	667	168	88	80	531	274	257	0	0	0	911	505	406	450	189	261	398	364	34	317	301	16	104	100	4	2	2	0	1	1	0	210	198	12	81	63	18	2	1	1	8	2	6	2	0	2	69	60	9	80	63	17	2	1	1	8	2	6	1	0	1	69	60	9	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	963	330	633
21	386	3050	407943	0	0	VILLAGE	Balapur	Rural	205	1019	531	488	103	57	46	24	14	10	0	0	0	779	429	350	240	102	138	325	309	16	316	301	15	107	104	3	32	31	1	1	0	1	176	166	10	9	8	1	1	1	0	0	0	0	0	0	0	8	7	1	9	8	1	1	1	0	0	0	0	0	0	0	8	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	694	222	472
21	386	3050	407944	0	0	VILLAGE	Dhabalapur	Rural	47	243	121	122	29	16	13	0	0	0	0	0	0	193	100	93	50	21	29	67	62	5	64	60	4	30	29	1	0	0	0	0	0	0	34	31	3	3	2	1	1	1	0	0	0	0	0	0	0	2	1	1	3	2	1	1	1	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	59	117
21	386	3050	407945	0	0	VILLAGE	Kurumapada	Rural	218	1043	560	483	91	53	38	38	18	20	2	2	0	816	446	370	227	114	113	282	269	13	195	184	11	107	103	4	35	32	3	9	9	0	44	40	4	87	85	2	14	14	0	48	46	2	9	9	0	16	16	0	63	61	2	8	8	0	37	35	2	8	8	0	10	10	0	24	24	0	6	6	0	11	11	0	1	1	0	6	6	0	761	291	470
21	386	3050	407946	0	0	VILLAGE	Medin	Rural	1	7	3	4	0	0	0	0	0	0	0	0	0	7	3	4	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	4
